merge_id	annotation.TG	distanceToTSS.TG	score.TG	signalValue.TG	pValue.TG	qValue.TG	annotation.WT	distanceToTSS.WT	score.WT	signalValue.WT	pValue.WT	qValue.WT
chr1:134883457:134884080	Promoter (<=1kb)	0	1000	22.46973	-1	-1	NA	NA	NA	NA	NA	NA
chr1:135241181:135241908	Promoter (<=1kb)	0	1000	27.26454	-1	-1	NA	NA	NA	NA	NA	NA
chr1:13730523:13730950	Promoter (<=1kb)	0	1000	20.84455	-1	-1	NA	NA	NA	NA	NA	NA
chr1:143652642:143653170	Promoter (<=1kb)	0	1000	22.03194	-1	-1	NA	NA	NA	NA	NA	NA
chr1:150268326:150269087	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	55.5272	-1	-1
chr1:150268346:150269343	Promoter (<=1kb)	0	1000	50.367	-1	-1	NA	NA	NA	NA	NA	NA
chr1:150907159:150907633	NA	NA	NA	NA	NA	NA	Distal Intergenic	30228	1000	34.3658	-1	-1
chr1:151630647:151631215	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	40.3032	-1	-1
chr1:151630655:151631369	Promoter (<=1kb)	0	1000	37.2896	-1	-1	NA	NA	NA	NA	NA	NA
chr1:152778048:152779179	Promoter (<=1kb)	0	1000	25.74351	-1	-1	NA	NA	NA	NA	NA	NA
chr1:153208441:153209111	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	38.4216	-1	-1
chr1:153208486:153209360	Promoter (<=1kb)	0	1000	25.93616	-1	-1	NA	NA	NA	NA	NA	NA
chr1:155433730:155434196	Promoter (<=1kb)	0	1000	14.85373	-1	-1	NA	NA	NA	NA	NA	NA
chr1:155911553:155912529	Promoter (<=1kb)	0	1000	24.70439	-1	-1	NA	NA	NA	NA	NA	NA
chr1:155911724:155912484	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	21.85253	-1	-1
chr1:160861868:160862739	Promoter (<=1kb)	0	1000	42.9104	-1	-1	NA	NA	NA	NA	NA	NA
chr1:160862048:160862749	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	72.3126	-1	-1
chr1:161704200:161704833	Promoter (<=1kb)	0	1000	23.4281	-1	-1	NA	NA	NA	NA	NA	NA
chr1:16174265:16175578	Promoter (<=1kb)	0	1000	37.97668	-1	-1	NA	NA	NA	NA	NA	NA
chr1:163606975:163607601	Promoter (<=1kb)	0	1000	22.5576	-1	-1	NA	NA	NA	NA	NA	NA
chr1:164076109:164076946	Promoter (<=1kb)	0	1000	24.31978	-1	-1	NA	NA	NA	NA	NA	NA
chr1:164134642:164135279	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	104.7557	-1	-1
chr1:164134700:164135267	Promoter (<=1kb)	0	1000	37.0316	-1	-1	NA	NA	NA	NA	NA	NA
chr1:164723760:164724315	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000194322.2/ENSMUSG00000104117.6, intron 2 of 3)	2845	1000	26.012	-1	-1
chr1:165021847:165022225	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	24.89	-1	-1
chr1:165021872:165022265	Promoter (<=1kb)	0	1000	18.33186	-1	-1	NA	NA	NA	NA	NA	NA
chr1:165064240:165064818	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	79.2716	-1	-1
chr1:165064283:165064843	Promoter (<=1kb)	0	1000	30.7305	-1	-1	NA	NA	NA	NA	NA	NA
chr1:165287820:165289019	Promoter (<=1kb)	0	1000	31.61898	-1	-1	NA	NA	NA	NA	NA	NA
chr1:165598946:165599541	NA	NA	NA	NA	NA	NA	Promoter (1-2kb)	1901	1000	17.17308	-1	-1
chr1:166206307:166207022	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	28.69181	-1	-1
chr1:166206348:166206884	Promoter (<=1kb)	0	1000	21.67567	-1	-1	NA	NA	NA	NA	NA	NA
chr1:167112279:167113001	Promoter (<=1kb)	0	1000	15.50531	-1	-1	NA	NA	NA	NA	NA	NA
chr1:167135845:167136882	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	214.948	-1	-1
chr1:167135978:167136633	Promoter (<=1kb)	0	1000	46.3315	-1	-1	NA	NA	NA	NA	NA	NA
chr1:16726752:16727500	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	72.4883	-1	-1
chr1:16726847:16727479	Promoter (<=1kb)	0	1000	28.131	-1	-1	NA	NA	NA	NA	NA	NA
chr1:167445508:167446060	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	40.8603	-1	-1
chr1:167445532:167445957	Promoter (<=1kb)	0	1000	14.40138	-1	-1	NA	NA	NA	NA	NA	NA
chr1:168209627:168210083	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000188912.7/ENSMUSG00000052534.16, intron 2 of 7)	-31250	1000	23.7115	-1	-1
chr1:168259674:168260320	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	40.9977	-1	-1
chr1:168259777:168260317	Promoter (<=1kb)	0	1000	31.0965	-1	-1	NA	NA	NA	NA	NA	NA
chr1:169359031:169359498	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	15.17208	-1	-1
chr1:169796299:169796990	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	33.65044	-1	-1
chr1:169796559:169797049	Promoter (<=1kb)	0	1000	20.33537	-1	-1	NA	NA	NA	NA	NA	NA
chr1:171074426:171074968	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	23.34683	-1	-1
chr1:171121885:171122526	Promoter (<=1kb)	0	1000	16.92919	-1	-1	NA	NA	NA	NA	NA	NA
chr1:171156191:171157340	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	153.6257	-1	-1
chr1:171156321:171157494	Promoter (<=1kb)	0	1000	42.80865	-1	-1	NA	NA	NA	NA	NA	NA
chr1:171238488:171238975	Promoter (<=1kb)	0	1000	14.48598	-1	-1	NA	NA	NA	NA	NA	NA
chr1:172045641:172046240	NA	NA	NA	NA	NA	NA	Promoter (1-2kb)	1042	1000	38.5036	-1	-1
chr1:172459987:172460954	Promoter (<=1kb)	0	1000	21.43021	-1	-1	NA	NA	NA	NA	NA	NA
chr1:175452744:175453461	Promoter (<=1kb)	0	1000	16.23792	-1	-1	NA	NA	NA	NA	NA	NA
chr1:176642081:176642663	Promoter (<=1kb)	0	1000	24.0936	-1	-1	NA	NA	NA	NA	NA	NA
chr1:177623761:177624587	Promoter (<=1kb)	0	1000	50.9714	-1	-1	NA	NA	NA	NA	NA	NA
chr1:177623839:177624508	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	24.50204	-1	-1
chr1:177810432:177811180	Promoter (<=1kb)	0	1000	27.661	-1	-1	NA	NA	NA	NA	NA	NA
chr1:178014806:178015560	Promoter (<=1kb)	0	1000	48.5785	-1	-1	NA	NA	NA	NA	NA	NA
chr1:178014863:178015293	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	17.46009	-1	-1
chr1:178145734:178147050	Promoter (<=1kb)	0	1000	36.36412	-1	-1	NA	NA	NA	NA	NA	NA
chr1:178165200:178165653	Promoter (<=1kb)	0	1000	15.54655	-1	-1	NA	NA	NA	NA	NA	NA
chr1:180553263:180554158	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	143.6562	-1	-1
chr1:180553318:180553954	Promoter (<=1kb)	0	1000	40.943	-1	-1	NA	NA	NA	NA	NA	NA
chr1:182328382:182328884	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000068505.10/ENSMUSG00000026509.16, intron 2 of 20)	6661	1000	39.3998	-1	-1
chr1:182328453:182328842	Intron (ENSMUST00000068505.10/ENSMUSG00000026509.16, intron 2 of 20)	6732	1000	15.22259	-1	-1	NA	NA	NA	NA	NA	NA
chr1:183170036:183170466	Promoter (<=1kb)	0	1000	14.57052	-1	-1	NA	NA	NA	NA	NA	NA
chr1:183664582:183664984	NA	NA	NA	NA	NA	NA	Distal Intergenic	3980	1000	23.43754	-1	-1
chr1:185094884:185095404	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	48.0298	-1	-1
chr1:185094920:185095351	Promoter (<=1kb)	0	1000	31.3671	-1	-1	NA	NA	NA	NA	NA	NA
chr1:189642970:189643571	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000027897.8/ENSMUSG00000026603.14, intron 1 of 11)	4585	1000	45.6529	-1	-1
chr1:189654356:189654783	Promoter (<=1kb)	0	1000	14.91634	-1	-1	NA	NA	NA	NA	NA	NA
chr1:189654400:189655623	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	29.54266	-1	-1
chr1:190643547:190644382	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	118.0261	-1	-1
chr1:190643734:190644231	Promoter (<=1kb)	0	1000	17.47617	-1	-1	NA	NA	NA	NA	NA	NA
chr1:191188760:191189561	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000192778.2/ENSMUSG00000103114.2, intron 2 of 5)	7684	1000	61.56633	-1	-1
chr1:191552968:191553711	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	68.1033	-1	-1
chr1:191553153:191553957	Promoter (<=1kb)	0	1000	19.62822	-1	-1	NA	NA	NA	NA	NA	NA
chr1:191820910:191821791	Promoter (<=1kb)	0	1000	15.99747	-1	-1	NA	NA	NA	NA	NA	NA
chr1:192452828:192453552	Promoter (<=1kb)	0	1000	22.14858	-1	-1	NA	NA	NA	NA	NA	NA
chr1:192452963:192453476	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	21.3717	-1	-1
chr1:192812106:192812731	Promoter (<=1kb)	0	1000	36.7249	-1	-1	NA	NA	NA	NA	NA	NA
chr1:23295536:23296270	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	-48	1000	19.01759	-1	-1
chr1:23295719:23296184	Promoter (<=1kb)	-231	1000	20.85985	-1	-1	NA	NA	NA	NA	NA	NA
chr1:23422268:23422770	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	-12	1000	49.0581	-1	-1
chr1:23422282:23422814	Promoter (<=1kb)	-26	1000	38.494	-1	-1	NA	NA	NA	NA	NA	NA
chr1:24651550:24652505	Promoter (<=1kb)	0	1000	528.8556	-1	-1	NA	NA	NA	NA	NA	NA
chr1:24717596:24718057	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	15.87694	-1	-1
chr1:34478171:34479069	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	256.966	-1	-1
chr1:34478282:34479065	Promoter (<=1kb)	0	1000	46.56467	-1	-1	NA	NA	NA	NA	NA	NA
chr1:36585971:36586633	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	29.5507	-1	-1
chr1:36586009:36586580	Promoter (<=1kb)	0	1000	14.49852	-1	-1	NA	NA	NA	NA	NA	NA
chr1:36730059:36730823	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	66.4532	-1	-1
chr1:36730117:36730868	Promoter (<=1kb)	0	1000	34.9418	-1	-1	NA	NA	NA	NA	NA	NA
chr1:37468582:37469367	Promoter (<=1kb)	0	1000	34.0001	-1	-1	NA	NA	NA	NA	NA	NA
chr1:37468630:37469328	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	28.8197	-1	-1
chr1:38035805:38036596	Promoter (<=1kb)	0	1000	17.90316	-1	-1	NA	NA	NA	NA	NA	NA
chr1:38036954:38037506	Promoter (<=1kb)	0	1000	23.94937	-1	-1	NA	NA	NA	NA	NA	NA
chr1:39026334:39026881	Promoter (<=1kb)	-41	1000	16.94974	-1	-1	NA	NA	NA	NA	NA	NA
chr1:39406688:39407398	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	87.1143	-1	-1
chr1:39406722:39407232	Promoter (<=1kb)	0	1000	22.921	-1	-1	NA	NA	NA	NA	NA	NA
chr1:40720327:40720741	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	-16	1000	21.29845	-1	-1
chr1:40720329:40721054	Promoter (<=1kb)	0	1000	34.9988	-1	-1	NA	NA	NA	NA	NA	NA
chr1:42890043:42890934	Promoter (<=1kb)	0	1000	28.7076	-1	-1	NA	NA	NA	NA	NA	NA
chr1:42890259:42891097	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	73.1845	-1	-1
chr1:44061681:44062154	NA	NA	NA	NA	NA	NA	Distal Intergenic	-2487	1000	20.12937	-1	-1
chr1:44140989:44141825	Promoter (<=1kb)	0	1000	30.34243	-1	-1	NA	NA	NA	NA	NA	NA
chr1:44157666:44158255	Promoter (<=1kb)	0	1000	34.0085	-1	-1	NA	NA	NA	NA	NA	NA
chr1:44157887:44158359	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	31.2997	-1	-1
chr1:45834008:45834859	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	25.528	-1	-1
chr1:45834015:45834915	Promoter (<=1kb)	0	1000	28.93762	-1	-1	NA	NA	NA	NA	NA	NA
chr1:52883914:52884400	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	15.91046	-1	-1
chr1:52883931:52884447	Promoter (<=1kb)	0	1000	14.81638	-1	-1	NA	NA	NA	NA	NA	NA
chr1:55126539:55127650	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	359.68	-1	-1
chr1:55126559:55127738	Promoter (<=1kb)	0	1000	74.50239	-1	-1	NA	NA	NA	NA	NA	NA
chr1:57445362:57446375	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	522.834	-1	-1
chr1:57445455:57446180	Promoter (<=1kb)	0	1000	82.5257	-1	-1	NA	NA	NA	NA	NA	NA
chr1:58034882:58035291	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	19.083	-1	-1
chr1:58034913:58035343	Promoter (<=1kb)	0	1000	21.3804	-1	-1	NA	NA	NA	NA	NA	NA
chr1:58431830:58432342	Promoter (<=1kb)	0	1000	14.9743	-1	-1	NA	NA	NA	NA	NA	NA
chr1:58543857:58544431	Promoter (<=1kb)	0	1000	19.32058	-1	-1	NA	NA	NA	NA	NA	NA
chr1:60137087:60137933	Promoter (<=1kb)	0	1000	22.38708	-1	-1	NA	NA	NA	NA	NA	NA
chr1:60137364:60137845	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	17.58767	-1	-1
chr1:60219401:60220027	Promoter (<=1kb)	0	1000	21.62139	-1	-1	NA	NA	NA	NA	NA	NA
chr1:60448010:60448878	Promoter (<=1kb)	0	1000	17.81801	-1	-1	NA	NA	NA	NA	NA	NA
chr1:63215375:63216462	Promoter (<=1kb)	0	1000	54.5628	-1	-1	NA	NA	NA	NA	NA	NA
chr1:63215515:63216547	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	438.606	-1	-1
chr1:64776721:64777194	Promoter (<=1kb)	0	1000	15.70953	-1	-1	NA	NA	NA	NA	NA	NA
chr1:66962087:66962533	NA	NA	NA	NA	NA	NA	Distal Intergenic	11324	1000	17.76785	-1	-1
chr1:72622175:72622527	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	15.96063	-1	-1
chr1:72622182:72622573	Promoter (<=1kb)	0	1000	28.6605	-1	-1	NA	NA	NA	NA	NA	NA
chr1:72985428:72985897	NA	NA	NA	NA	NA	NA	Distal Intergenic	-38106	1000	42.2337	-1	-1
chr1:73080014:73080482	NA	NA	NA	NA	NA	NA	Distal Intergenic	16286	1000	27.6694	-1	-1
chr1:73080085:73080404	Distal Intergenic	16357	1000	13.99819	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74275339:74275937	Promoter (<=1kb)	0	1000	31.7423	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74323363:74324237	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	53.65686	-1	-1
chr1:74323450:74324474	Promoter (<=1kb)	0	1000	36.0282	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74379330:74379872	NA	NA	NA	NA	NA	NA	Intron (ENSMUST00000027370.13/ENSMUSG00000026179.15, intron 2 of 9)	7508	1000	41.6292	-1	-1
chr1:74436181:74436863	3' UTR	2712	1000	24.65149	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74544779:74545880	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	242.459	-1	-1
chr1:74544901:74545842	Promoter (<=1kb)	0	1000	45.2616	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74627111:74627699	Promoter (<=1kb)	0	1000	19.17046	-1	-1	NA	NA	NA	NA	NA	NA
chr1:7467699:7468241	Promoter (<=1kb)	0	1000	18.49886	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74793371:74794172	NA	NA	NA	NA	NA	NA	Distal Intergenic	-4991	1000	54.0376	-1	-1
chr1:74793381:74793907	Distal Intergenic	-5001	1000	19.21849	-1	-1	NA	NA	NA	NA	NA	NA
chr1:74855891:74856370	NA	NA	NA	NA	NA	NA	Distal Intergenic	23369	1000	33.8269	-1	-1
chr1:75101057:75102020	Promoter (<=1kb)	0	1000	41.095	-1	-1	NA	NA	NA	NA	NA	NA
chr1:75101170:75102027	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	122.2637	-1	-1
chr1:75156687:75157304	Promoter (<=1kb)	0	1000	17.73572	-1	-1	NA	NA	NA	NA	NA	NA
chr1:75293742:75294811	Promoter (<=1kb)	0	1000	22.55436	-1	-1	NA	NA	NA	NA	NA	NA
chr1:75320990:75321635	NA	NA	NA	NA	NA	NA	Distal Intergenic	-15338	1000	14.90664	-1	-1
chr1:75350730:75352937	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	62.11794	-1	-1
chr1:75351647:75352875	Promoter (<=1kb)	0	1000	26.1801	-1	-1	NA	NA	NA	NA	NA	NA
chr1:75455892:75456273	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	20.25201	-1	-1
chr1:78465389:78465781	Promoter (<=1kb)	0	1000	15.48703	-1	-1	NA	NA	NA	NA	NA	NA
chr1:84816608:84817777	Promoter (<=1kb)	0	1000	42.3626	-1	-1	NA	NA	NA	NA	NA	NA
chr1:84816638:84817785	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	134.7702	-1	-1
chr1:86414883:86415574	Promoter (<=1kb)	0	1000	28.85975	-1	-1	NA	NA	NA	NA	NA	NA
chr1:86452920:86454222	Promoter (<=1kb)	0	1000	17.48199	-1	-1	NA	NA	NA	NA	NA	NA
chr1:86631130:86631890	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	70.9438	-1	-1
chr1:86631270:86631812	Promoter (<=1kb)	0	1000	24.2333	-1	-1	NA	NA	NA	NA	NA	NA
chr1:87079018:87079586	NA	NA	NA	NA	NA	NA	Exon (ENSMUST00000161002.8/ENSMUSG00000026247.14, exon 8 of 18)	-2380	1000	55.7994	-1	-1
chr1:87683447:87683983	Promoter (<=1kb)	0	1000	14.73545	-1	-1	NA	NA	NA	NA	NA	NA
chr1:88629793:88630249	Promoter (<=1kb)	0	1000	23.91343	-1	-1	NA	NA	NA	NA	NA	NA
chr1:91177740:91178225	Promoter (<=1kb)	0	1000	20.53724	-1	-1	NA	NA	NA	NA	NA	NA
chr1:91177757:91178397	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	34.7572	-1	-1
chr1:92107910:92108188	Promoter (<=1kb)	0	1000	14.28649	-1	-1	NA	NA	NA	NA	NA	NA
chr1:92198265:92198646	Distal Intergenic	-53586	1000	15.72315	-1	-1	NA	NA	NA	NA	NA	NA
chr1:92198273:92198607	NA	NA	NA	NA	NA	NA	Distal Intergenic	-53625	1000	20.92424	-1	-1
chr1:92834414:92835219	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	55.7929	-1	-1
chr1:92834469:92835301	Promoter (<=1kb)	0	1000	36.58423	-1	-1	NA	NA	NA	NA	NA	NA
chr1:93405855:93406962	Promoter (<=1kb)	0	1000	50.23068	-1	-1	NA	NA	NA	NA	NA	NA
chr1:93405937:93406860	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	57.914	-1	-1
chr1:93562997:93563829	Promoter (<=1kb)	0	1000	24.5779	-1	-1	NA	NA	NA	NA	NA	NA
chr1:93682011:93682961	Promoter (<=1kb)	0	1000	19.23341	-1	-1	NA	NA	NA	NA	NA	NA
chr1:93732044:93732471	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	19.3557	-1	-1
chr1:9615195:9616217	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	125.5556	-1	-1
chr1:9615373:9615911	Promoter (<=1kb)	0	1000	24.2318	-1	-1	NA	NA	NA	NA	NA	NA
chr1:97697651:97698141	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	22.34694	-1	-1
chr1:97697675:97698337	Promoter (<=1kb)	0	1000	24.2915	-1	-1	NA	NA	NA	NA	NA	NA
chr1:9770436:9771126	Promoter (<=1kb)	-2	1000	48.4563	-1	-1	NA	NA	NA	NA	NA	NA
chr1:9770620:9771082	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	-186	1000	24.1389	-1	-1
chr10:107398669:107399170	NA	NA	NA	NA	NA	NA	Exon (ENSMUST00000050702.9/ENSMUSG00000035916.9, exon 35 of 45)	-68071	1000	26.1731	-1	-1
chr10:110845637:110846288	Promoter (<=1kb)	0	1000	22.48668	-1	-1	NA	NA	NA	NA	NA	NA
chr10:11156428:11157132	Promoter (<=1kb)	0	1000	22.18799	-1	-1	NA	NA	NA	NA	NA	NA
chr10:115220437:115221337	Promoter (<=1kb)	0	1000	16.8461	-1	-1	NA	NA	NA	NA	NA	NA
chr10:116416867:116418086	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	327.276	-1	-1
chr10:116416915:116417810	Promoter (<=1kb)	0	1000	47.6744	-1	-1	NA	NA	NA	NA	NA	NA
chr10:116984134:116984753	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	72.6395	-1	-1
chr10:116984172:116984717	Promoter (<=1kb)	0	1000	41.8156	-1	-1	NA	NA	NA	NA	NA	NA
chr10:117060036:117060680	Promoter (<=1kb)	0	1000	20.70791	-1	-1	NA	NA	NA	NA	NA	NA
chr10:117545979:117546565	Promoter (<=1kb)	0	1000	19.45786	-1	-1	NA	NA	NA	NA	NA	NA
chr10:117628176:117628850	Promoter (<=1kb)	0	1000	31.3176	-1	-1	NA	NA	NA	NA	NA	NA
chr10:117628208:117628912	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	84.0224	-1	-1
chr10:117681277:117682233	Promoter (<=1kb)	0	1000	18.92903	-1	-1	NA	NA	NA	NA	NA	NA
chr10:119075304:119076762	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	257.772	-1	-1
chr10:119075573:119076725	Promoter (<=1kb)	0	1000	72.84037	-1	-1	NA	NA	NA	NA	NA	NA
chr10:119948485:119949358	Promoter (<=1kb)	0	1000	30.75121	-1	-1	NA	NA	NA	NA	NA	NA
chr10:119948537:119949348	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	28.24065	-1	-1
chr10:120815062:120816146	Promoter (<=1kb)	0	1000	30.91129	-1	-1	NA	NA	NA	NA	NA	NA
chr10:121200274:121201344	Promoter (<=1kb)	0	1000	43.0259	-1	-1	NA	NA	NA	NA	NA	NA
chr10:121200323:121201296	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	49.7518	-1	-1
chr10:123032427:123033236	Promoter (<=1kb)	0	1000	28.20198	-1	-1	NA	NA	NA	NA	NA	NA
chr10:126520464:126520718	NA	NA	NA	NA	NA	NA	Distal Intergenic	20597	1000	21.5549	-1	-1
chr10:127025540:127026029	Promoter (<=1kb)	0	1000	16.54196	-1	-1	NA	NA	NA	NA	NA	NA
chr10:127025626:127026036	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	20.6278	-1	-1
chr10:127124289:127125892	Promoter (<=1kb)	0	1000	32.66353	-1	-1	NA	NA	NA	NA	NA	NA
chr10:127124525:127125844	NA	NA	NA	NA	NA	NA	Promoter (<=1kb)	0	1000	47.70118	-1	-1
chr10:127126135:127126701	Promoter (<=1kb)	0	1000	17.57353	-1	-1	NA	NA	NA	NA	NA	NA
