peak_id	WT	TG
10:77417292:77418492	1	0
10:77442064:77442455	1	0
10:77457796:77458561	1	0
10:78079923:78080783	1	0
10:78300410:78300953	1	0
10:78410177:78410747	1	0
10:79451848:79452088	1	0
10:79542619:79542982	1	0
10:79547879:79548099	1	0
10:79561908:79562183	1	0
10:79582010:79582502	1	0
10:79602822:79603089	1	0
10:79689866:79690572	1	0
10:79744074:79744932	1	0
10:79769870:79770098	1	0
10:79795457:79795907	1	0
10:79815634:79815997	1	0
10:79819337:79820365	1	0
10:79853363:79853718	1	0
10:79889402:79890259	1	0
10:79937479:79938529	1	0
10:79950105:79951488	1	0
10:79978282:79978717	1	0
10:79983565:79984652	1	0
10:79996628:79997030	1	0
10:80100903:80101197	1	0
10:80138315:80138532	1	0
10:80177262:80177592	1	0
10:80180949:80181204	1	0
10:80184112:80184533	1	0
10:80234438:80234751	1	0
10:80311247:80311948	1	0
10:80458813:80459082	1	0
10:80531168:80531470	1	0
10:80537673:80537959	1	0
10:80590626:80590872	1	0
10:80634075:80634896	1	0
10:80662555:80662841	1	0
10:80673612:80674203	1	0
10:80683818:80684098	1	0
10:80736127:80737227	1	0
10:80776298:80776582	1	0
10:80777147:80777411	1	0
10:80964988:80965315	1	0
10:80971906:80973450	1	0
10:81018495:81019013	1	0
10:81027964:81028224	1	0
10:81030059:81030550	1	0
10:81031191:81031468	1	0
10:81186035:81186468	1	0
10:81244823:81245083	1	0
10:81247659:81248303	1	0
10:81252907:81253271	1	0
10:81254425:81254944	1	0
10:81260738:81261279	1	0
10:81265503:81266507	1	0
10:81268793:81269126	1	0
10:81269602:81269937	1	0
10:81331735:81332779	1	0
10:81381033:81381402	1	0
10:81395025:81395334	1	0
10:81395588:81396219	1	0
10:81406161:81406696	1	0
10:81436486:81436968	1	0
10:81441972:81442334	1	0
10:82458618:82459507	1	0
10:83484456:83484801	1	0
10:84313525:84313764	1	0
10:84412805:84413188	1	0
10:84458074:84458357	1	0
10:84752752:84753710	1	0
10:86521070:86521696	1	0
10:86541099:86541971	1	0
10:86614292:86614920	1	0
10:86629874:86630169	1	0
10:87982557:87983231	1	0
10:88339829:88340189	1	0
10:89558330:89558630	1	0
10:90959758:90960130	1	0
10:91017361:91017727	1	0
10:93425130:93425861	1	0
10:93983537:93984420	1	0
10:94034725:94034951	1	0
10:94241402:94241635	1	0
10:94351196:94351432	1	0
10:94975534:94975850	1	0
10:95158009:95158448	1	0
10:95350756:95351029	1	0
10:95501412:95501749	1	0
10:98749803:98750231	1	0
10:105676973:105677373	1	0
10:107319977:107320330	1	0
10:107330916:107331176	1	0
10:107398728:107399113	1	0
10:107997775:107998015	1	0
10:110788917:110789132	1	0
10:111134449:111134682	1	0
10:111379988:111380213	1	0
10:111637614:111637830	1	0
10:116416867:116418086	1	0
10:116984134:116984753	1	0
10:117628208:117628912	1	0
10:118704390:118705098	1	0
10:119075304:119076762	1	0
10:119797389:119797640	1	0
10:119948840:119949348	1	0
10:120719879:120720373	1	0
10:121200435:121201273	1	0
10:122575197:122575449	1	0
10:123032423:123032762	1	0
10:126520465:126520716	1	0
10:126866188:126866782	1	0
10:127025638:127025995	1	0
10:127124899:127125844	1	0
10:127126315:127126616	1	0
10:127147555:127147896	1	0
10:127347641:127348003	1	0
10:127580362:127580719	1	0
10:127871096:127871856	1	0
10:127918671:127918901	1	0
10:127927513:127927832	1	0
10:128139017:128139611	1	0
10:128204134:128204558	1	0
10:128245590:128245853	1	0
10:128295271:128295648	1	0
10:128334526:128334890	1	0
10:128338304:128338753	1	0
10:128339231:128339456	1	0
10:128383297:128383779	1	0
10:128401881:128402418	1	0
10:128462284:128462761	1	0
10:128509564:128510362	1	0
10:128583372:128584464	1	0
10:128641030:128641837	1	0
10:128759051:128759389	1	0
10:128774079:128774524	1	0
10:130430309:130430816	1	0
11:3239439:3240353	1	0
11:3359094:3359405	1	0
11:3402104:3402600	1	0
11:3598755:3599216	1	0
11:3853169:3853507	1	0
11:3913230:3913441	1	0
11:4587421:4588054	1	0
11:4778715:4778983	1	0
11:4936653:4937447	1	0
11:5394680:5395121	1	0
11:5492004:5492512	1	0
11:5690903:5691174	1	0
11:5712201:5712542	1	0
11:5738172:5738788	1	0
11:5751962:5752449	1	0
11:5753748:5754079	1	0
11:5779424:5779693	1	0
11:5987462:5987859	1	0
11:6241778:6242246	1	0
11:6242490:6242850	1	0
11:6338159:6338483	1	0
11:6575854:6576158	1	0
11:8547936:8548178	1	0
11:11758975:11759287	1	0
11:12413875:12414180	1	0
11:20062905:20063250	1	0
11:20151005:20151471	1	0
11:21041109:21041429	1	0
11:21188223:21188880	1	0
11:21348424:21348805	1	0
11:21521770:21522486	1	0
11:21944220:21944440	1	0
11:23720518:23721121	1	0
11:29758280:29758905	1	0
11:30904087:30904694	1	0
11:31720468:31720730	1	0
11:31782612:31783108	1	0
11:32483090:32483392	1	0
11:33463786:33464049	1	0
11:35588548:35589009	1	0
11:35641348:35641694	1	0
11:35659912:35660497	1	0
11:40624300:40625010	1	0
11:43324466:43324829	1	0
11:43440597:43440869	1	0
11:44360974:44361545	1	0
11:44409385:44409794	1	0
11:44436001:44436221	1	0
11:48690629:48690876	1	0
11:48726787:48727010	1	0
11:49134513:49135433	1	0
11:49737380:49737754	1	0
11:50021845:50022272	1	0
11:50101675:50101924	1	0
11:50379686:50379904	1	0
11:50525662:50526039	1	0
11:50822336:50822651	1	0
11:50949972:50950212	1	0
11:51153490:51153938	1	0
11:51496634:51496935	1	0
11:51510169:51510687	1	0
11:51622943:51623187	1	0
11:51654245:51654738	1	0
11:51658578:51659447	1	0
11:51746178:51746507	1	0
11:51890722:51891580	1	0
11:51894654:51895300	1	0
11:52122489:52122720	1	0
11:52241810:52242257	1	0
11:52251437:52251724	1	0
11:52254639:52254955	1	0
11:52265091:52265626	1	0
11:52268540:52268783	1	0
11:52286922:52287345	1	0
11:52972371:52972623	1	0
11:53321536:53322039	1	0
11:53416179:53416559	1	0
11:53710054:53710353	1	0
11:54042020:54042360	1	0
11:54751298:54751538	1	0
11:54804613:54804928	1	0
11:54811464:54811878	1	0
11:54904644:54905220	1	0
11:54924370:54924598	1	0
11:55086076:55086299	1	0
11:55349329:55349543	1	0
11:55352170:55352630	1	0
11:57409006:57409974	1	0
11:57994674:57995301	1	0
11:58062296:58062627	1	0
11:58214004:58214475	1	0
11:58941800:58942121	1	0
11:59029351:59029626	1	0
11:59029993:59030353	1	0
11:59082623:59082861	1	0
11:59093007:59093333	1	0
11:60067493:60067790	1	0
11:60113575:60113997	1	0
11:60211400:60211647	1	0
11:60218381:60218638	1	0
11:60243472:60244349	1	0
11:60307610:60308045	1	0
11:60589617:60589831	1	0
11:60619217:60620392	1	0
11:60768968:60770124	1	0
11:60867587:60868136	1	0
11:60875977:60876187	1	0
11:61065782:61066070	1	0
11:61298690:61299000	1	0
11:61574911:61575469	1	0
11:61745875:61746261	1	0
11:61820722:61821032	1	0
11:62172519:62172806	1	0
11:62348962:62349332	1	0
11:62442045:62442317	1	0
11:62711236:62711712	1	0
11:62717258:62717500	1	0
11:65697535:65698370	1	0
11:67016530:67016876	1	0
11:67033119:67033430	1	0
11:67935205:67935465	1	0
11:68459335:68459643	1	0
11:68624187:68624549	1	0
11:68743805:68744046	1	0
11:68755752:68755976	1	0
11:69255663:69255953	1	0
11:69299504:69299936	1	0
11:69308382:69308968	1	0
11:69519084:69519351	1	0
11:69649305:69649552	1	0
11:69737223:69737685	1	0
11:69791630:69791846	1	0
11:69792384:69792758	1	0
11:69804557:69805114	1	0
11:69812048:69812509	1	0
11:69839741:69839974	1	0
11:69870948:69872000	1	0
11:69905810:69906403	1	0
11:69912355:69912732	1	0
11:70546205:70546970	1	0
11:70548306:70548597	1	0
11:70551261:70551668	1	0
11:70554710:70555105	1	0
11:70873561:70873996	1	0
11:70895296:70895636	1	0
11:71915419:71915641	1	0
11:72233771:72234187	1	0
11:72239699:72240213	1	0
11:72270635:72271047	1	0
11:72302307:72302745	1	0
11:72309089:72309469	1	0
11:72331889:72332406	1	0
11:72365771:72366158	1	0
11:72398467:72398978	1	0
11:72452500:72452763	1	0
11:72497664:72498116	1	0
11:72938401:72938796	1	0
11:73089827:73090215	1	0
11:74539759:74540829	1	0
11:74721080:74722268	1	0
11:74722722:74723055	1	0
11:74728728:74729568	1	0
11:74816529:74816918	1	0
11:75027904:75028138	1	0
11:75059541:75059759	1	0
11:75351994:75352409	1	0
11:75352785:75353592	1	0
11:75353890:75354357	1	0
11:75400240:75401573	1	0
11:75422128:75422696	1	0
11:75478682:75479105	1	0
11:75541041:75541351	1	0
11:75638080:75638297	1	0
11:75660116:75660340	1	0
11:76070466:76070709	1	0
11:77353496:77353711	1	0
11:77676791:77677004	1	0
11:77692039:77692376	1	0
11:77872103:77874194	1	0
11:77935494:77936004	1	0
11:78006033:78006365	1	0
11:78028942:78029383	1	0
11:78426805:78427427	1	0
11:78909932:78910309	1	0
11:78945894:78946309	1	0
11:78950656:78951041	1	0
11:79608078:79608361	1	0
11:79662337:79662721	1	0
11:79776805:79777214	1	0
11:80175599:80176038	1	0
11:80273883:80274132	1	0
11:82822400:82822613	1	0
11:83182364:83182741	1	0
11:83189620:83189873	1	0
11:83643999:83645110	1	0
11:84070150:84071062	1	0
11:84709986:84710445	1	0
11:84719028:84719314	1	0
11:84760910:84762130	1	0
11:85030606:85031190	1	0
11:85201491:85202019	1	0
11:85243318:85243869	1	0
11:86574545:86575104	1	0
11:86647702:86648048	1	0
11:86648272:86648600	1	0
11:86707075:86707311	1	0
11:86864119:86864543	1	0
11:87317519:87317750	1	0
11:87333500:87333931	1	0
11:87338949:87339414	1	0
11:87352661:87352923	1	0
11:87361688:87362111	1	0
11:87482382:87482985	1	0
11:87877802:87878064	1	0
11:87959240:87959488	1	0
11:87990590:87990844	1	0
11:88004338:88004856	1	0
11:88038897:88039174	1	0
11:88046906:88047125	1	0
11:88052288:88053066	1	0
11:88055541:88056161	1	0
11:88094862:88095409	1	0
11:88125985:88126694	1	0
11:88529865:88530195	1	0
11:88748234:88748517	1	0
11:89893452:89894031	1	0
11:90246086:90246378	1	0
11:93776583:93777285	1	0
11:93858964:93859359	1	0
11:93886571:93886831	1	0
11:94024254:94025631	1	0
11:94029323:94030073	1	0
11:94101727:94102319	1	0
11:94102750:94103031	1	0
11:94544179:94544932	1	0
11:94929725:94930119	1	0
11:95200672:95201407	1	0
11:95227424:95227743	1	0
11:95256528:95256843	1	0
11:95557519:95558067	1	0
11:95669659:95670130	1	0
11:95749336:95750190	1	0
11:95966591:95966844	1	0
11:96668163:96668618	1	0
11:96679796:96680379	1	0
11:96714796:96715183	1	0
11:96715714:96716023	1	0
11:96795506:96795734	1	0
11:96797057:96797333	1	0
11:96868094:96869151	1	0
11:97011380:97011595	1	0
11:97077844:97078957	1	0
11:97206460:97206696	1	0
11:97254297:97254565	1	0
11:97325801:97326265	1	0
11:97354792:97355121	1	0
11:97552580:97553025	1	0
11:97554082:97555404	1	0
11:97576339:97577088	1	0
11:97593969:97594422	1	0
11:97907309:97908035	1	0
11:98248978:98249541	1	0
11:98274179:98274650	1	0
11:98276030:98276315	1	0
11:98477953:98478184	1	0
11:98573311:98573616	1	0
11:98645818:98646030	1	0
11:98664984:98665258	1	0
11:98685894:98686208	1	0
11:98754445:98754706	1	0
11:100210417:100211348	1	0
11:100286020:100286273	1	0
11:100677075:100677287	1	0
11:100682553:100682963	1	0
11:100960607:100960899	1	0
11:100973281:100973664	1	0
11:101021320:101021936	1	0
11:101053629:101054064	1	0
11:101135840:101136176	1	0
11:101332806:101333699	1	0
11:101442779:101443546	1	0
11:101517667:101517996	1	0
11:101623352:101624054	1	0
11:101872689:101872931	1	0
11:101875003:101875737	1	0
11:101917370:101917765	1	0
11:101929741:101930061	1	0
11:102056922:102057279	1	0
11:102080160:102080612	1	0
11:102107299:102107609	1	0
11:102110726:102111002	1	0
11:102170658:102170877	1	0
11:102175918:102176187	1	0
11:102187008:102187248	1	0
11:102298283:102299021	1	0
11:102447012:102447451	1	0
11:102631346:102631788	1	0
11:102958522:102958916	1	0
11:102993693:102994003	1	0
11:103157978:103158745	1	0
11:104123070:104123353	1	0
11:104180220:104180583	1	0
11:104332768:104333062	1	0
11:104441097:104441591	1	0
11:105173264:105173505	1	0
11:106107129:106107892	1	0
11:106146457:106147236	1	0
11:106163411:106164565	1	0
11:106220131:106220409	1	0
11:106378434:106379182	1	0
11:106382258:106382543	1	0
11:106405322:106405699	1	0
11:106679178:106680194	1	0
11:106890288:106890574	1	0
11:107331823:107332087	1	0
11:107476258:107476490	1	0
11:107869599:107869815	1	0
11:108233473:108233818	1	0
11:109232950:109233282	1	0
11:109316251:109316828	1	0
11:109364085:109364328	1	0
11:109460627:109460989	1	0
11:110339560:110339876	1	0
11:111014351:111014648	1	0
11:111350812:111351216	1	0
11:114573379:114573639	1	0
11:114655878:114656333	1	0
11:114757791:114758143	1	0
11:115168058:115168678	1	0
11:115188261:115188547	1	0
11:115294477:115294800	1	0
11:115303721:115304002	1	0
11:115311948:115312170	1	0
11:115365755:115366127	1	0
11:115503535:115503853	1	0
11:115666711:115666935	1	0
11:115704802:115705231	1	0
11:115710701:115710921	1	0
11:115920909:115921151	1	0
11:116089572:116090231	1	0
11:116238826:116239163	1	0
11:116324642:116324981	1	0
11:116327907:116328166	1	0
11:116458462:116458728	1	0
11:116512074:116512286	1	0
11:116733737:116734668	1	0
11:116967410:116967756	1	0
11:116979786:116980017	1	0
11:117200879:117201171	1	0
11:117286677:117286906	1	0
11:117434085:117434429	1	0
11:117458926:117459269	1	0
11:117763800:117764657	1	0
11:117768829:117769336	1	0
11:117781396:117781626	1	0
11:117810078:117810296	1	0
11:117814217:117814513	1	0
11:117840204:117840709	1	0
11:118092108:118092568	1	0
11:118138656:118139524	1	0
11:118315342:118315699	1	0
11:119015363:119015643	1	0
11:119017195:119017518	1	0
11:119018892:119019269	1	0
11:119112806:119113124	1	0
11:119158729:119158982	1	0
11:119382054:119382481	1	0
11:119991892:119992255	1	0
11:120195790:120196066	1	0
11:120239799:120240210	1	0
11:120241068:120241354	1	0
11:120244369:120244657	1	0
11:120382554:120382990	1	0
11:120472256:120472704	1	0
11:120518848:120519129	1	0
11:120523759:120524074	1	0
11:120538745:120539319	1	0
11:120637433:120637705	1	0
11:120674641:120675533	1	0
11:120687053:120687503	1	0
11:120823612:120823877	1	0
11:120841669:120842065	1	0
11:120842778:120843375	1	0
11:120881152:120881423	1	0
11:121054604:121055026	1	0
11:121126729:121127036	1	0
11:121127583:121128326	1	0
11:121150389:121150790	1	0
11:121163555:121163820	1	0
11:121342409:121343142	1	0
12:3285301:3285896	1	0
12:3287462:3287874	1	0
12:3288654:3288888	1	0
12:3402540:3402871	1	0
12:3814233:3814444	1	0
12:3831396:3831813	1	0
12:3856357:3856762	1	0
12:3858360:3858848	1	0
12:4132801:4133251	1	0
12:4488558:4488788	1	0
12:5242007:5242294	1	0
12:8423622:8424038	1	0
12:8690767:8691110	1	0
12:10440618:10441318	1	0
12:12226550:12226978	1	0
12:12272712:12272963	1	0
12:16033823:16034192	1	0
12:16668751:16668980	1	0
12:16690172:16690483	1	0
12:16693383:16693971	1	0
12:16695058:16695463	1	0
12:16900718:16901192	1	0
12:17316206:17316576	1	0
12:17740232:17740857	1	0
12:21366455:21366743	1	0
12:24701122:24701414	1	0
12:24757876:24758444	1	0
12:32428741:32429090	1	0
12:32969154:32969478	1	0
12:33003770:33004088	1	0
12:33361684:33362021	1	0
12:33479579:33480093	1	0
12:40248075:40248343	1	0
12:40273216:40273662	1	0
12:40495834:40496080	1	0
12:40630375:40630697	1	0
12:40865833:40866111	1	0
12:46866156:46866528	1	0
12:50558291:50558509	1	0
12:51424127:51424457	1	0
12:51738871:51739241	1	0
12:51891704:51892064	1	0
12:52032613:52032826	1	0
12:54742515:54742802	1	0
12:55126662:55127571	1	0
12:55445299:55446005	1	0
12:55538358:55538647	1	0
12:55539359:55539762	1	0
12:55607106:55607385	1	0
12:55867191:55867446	1	0
12:59058797:59059049	1	0
12:59207975:59208245	1	0
12:65012190:65012851	1	0
12:69343288:69343586	1	0
12:69407945:69408271	1	0
12:69418588:69419105	1	0
12:69610477:69610716	1	0
12:69771646:69772008	1	0
12:70898376:70898619	1	0
12:71021395:71021855	1	0
12:71062371:71062672	1	0
12:71877350:71877863	1	0
12:72582611:72583284	1	0
12:72711357:72711905	1	0
12:72807619:72807919	1	0
12:73092285:73092688	1	0
12:73100595:73100952	1	0
12:73428347:73428562	1	0
12:73449773:73450170	1	0
12:73450695:73451255	1	0
12:73455413:73455902	1	0
12:76301753:76302241	1	0
12:76601255:76601485	1	0
12:78272564:78273007	1	0
12:79238567:79239095	1	0
12:79906313:79906652	1	0
12:80130581:80131063	1	0
12:80155783:80156083	1	0
12:80179223:80179566	1	0
12:80214901:80215366	1	0
12:80480638:80480872	1	0
12:80481713:80482052	1	0
12:80509847:80510459	1	0
12:80553771:80554055	1	0
12:80690572:80691183	1	0
12:80836901:80837529	1	0
12:81291285:81291674	1	0
12:81531711:81532053	1	0
12:81901797:81902078	1	0
12:83192021:83192399	1	0
12:83408651:83408909	1	0
12:83534496:83534820	1	0
12:83542763:83542980	1	0
12:83643657:83644134	1	0
12:83678647:83679016	1	0
12:84160951:84161264	1	0
12:84201630:84202104	1	0
12:84208325:84208745	1	0
12:84331538:84332298	1	0
12:84408360:84409227	1	0
12:84497754:84498045	1	0
12:85266047:85266574	1	0
12:85351877:85352116	1	0
12:85385620:85386575	1	0
12:85420894:85422047	1	0
12:85518955:85519367	1	0
12:85520253:85520562	1	0
12:85871488:85871720	1	0
12:86071159:86071632	1	0
12:86848091:86848744	1	0
12:86863783:86864066	1	0
12:86939327:86939674	1	0
12:87193934:87195211	1	0
12:87312920:87313530	1	0
12:87481839:87482216	1	0
12:87490219:87490904	1	0
12:88327188:88327788	1	0
12:91753102:91753434	1	0
12:99180274:99180705	1	0
12:99365997:99366287	1	0
12:99493013:99493290	1	0
12:99527067:99527372	1	0
12:99682505:99682749	1	0
12:100165474:100165818	1	0
12:100274421:100274676	1	0
12:100444525:100444976	1	0
12:100446126:100446743	1	0
12:100691427:100691809	1	0
12:100964177:100964455	1	0
12:100985942:100986208	1	0
12:101924411:101924690	1	0
12:101941717:101942520	1	0
12:102435300:102436140	1	0
12:102657407:102657719	1	0
12:102723716:102724280	1	0
12:103179941:103180393	1	0
12:103182407:103182760	1	0
12:104717555:104718776	1	0
12:105976245:105976547	1	0
12:107373993:107374372	1	0
12:108259001:108259707	1	0
12:108337822:108338208	1	0
12:108758116:108759183	1	0
12:108801386:108802091	1	0
12:108859982:108860285	1	0
12:110945084:110945337	1	0
